City Name,Region,KOR_Code,UNICODE,Class,Target,Mitigation,Adaptation,Emission Reductions,CDP Report,C40,ICLEI,GCoM,State 
Busan,Busan,부산광역시,&#xBD80;&#xC0B0;&#xAD11;&#xC5ED;&#xC2DC;,1,X,,,,0,,0,,
Chungcheongbuk-do,Chungcheongbuk-do,충북,&#xCDA9;&#xBD81;,0,,,,,,,,,
Cheongju,Chungcheongbuk-do,청주,&#xCCAD;&#xC8FC;,2,,,,,,,,,
Chungju,Chungcheongbuk-do,충주,&#xCDA9;&#xC8FC;,3,,,,,,,,,
Jecheon,Chungcheongbuk-do,제천,&#xC81C;&#xCC9C;,4,,,,,,,,,
Danyang,Chungcheongbuk-do,단양,&#xB2E8;&#xC591;,5,,,,,,,,,
Chungcheongnam-do,Chungcheongnam-do,충남,&#xCDA9;&#xB0A8;,0,,,,,,,0,,
Cheonan,Chungcheongnam-do,천안,&#xCC9C;&#xC548;,2,,,,,,,,,
Asan,Chungcheongnam-do,아산,&#xC544;&#xC0B0;,3,,,,,,,0,,
Dangjin,Chungcheongnam-do,당진,&#xB2F9;&#xC9C4;,4,,,,,0,,0,0,
Seosan,Chungcheongnam-do,서산,&#xC11C;&#xC0B0;,4,,,,,,,,,
Daegu,Daegu,대구광역시,&#xB300;&#xAD6C;&#xAD11;&#xC5ED;&#xC2DC;,1,,,,,0,,0,0,
Daejeon,Daejeon,대전광역시,&#xB300;&#xC804;&#xAD11;&#xC5ED;&#xC2DC;,1,,,,,,,0,,
Gangwon-do,Gangwon-do,강원,&#xAC15;&#xC6D0;,0,,,,,,,0,,
Gangneung,Gangwon-do,춘천,&#xCD98;&#xCC9C;,3,,,,,,,0,,
Chuncheon,Gangwon-do,강릉,&#xAC15;&#xB989;,3,,,,,0,,,,
Wonju,Gangwon-do,원주,&#xC6D0;&#xC8FC;,3,,,,,,,0,,
Samcheok,Gangwon-do,동해,&#xB3D9;&#xD574;,4,,,,,,,,,
Donghae,Gangwon-do,삼척,&#xC0BC;&#xCC99;,4,,,,,,,,,
Gwangju,Gwangju,광주광역시,&#xAD11;&#xC8FC;&#xAD11;&#xC5ED;&#xC2DC;,1,,,,,,,0,0,
Gyeonggi-do,Gyeonggi-do,경기,&#xACBD;&#xAE30;,0,,,,,,,0,,
Anyang,Gyeonggi-do,안산,&#xC548;&#xC0B0;,2,,,,,,,0,,
Hwaseong,Gyeonggi-do,안양,&#xC548;&#xC591;,2,,,,,0,,0,0,
Namyangju,Gyeonggi-do,부천,&#xBD80;&#xCC9C;,2,,,,,,,,,
Ansan,Gyeonggi-do,고양,&#xACE0;&#xC591;,2,,,,,0,,0,0,
Bucheon,Gyeonggi-do,화성,&#xD654;&#xC131;,2,,,,,,,0,,
Seongnam,Gyeonggi-do,남양주,&#xB0A8;&#xC591;&#xC8FC;,2,,,,,,,0,,
Yongin,Gyeonggi-do,성남,&#xC131;&#xB0A8;,2,,,,,,,,0,
Goyang,Gyeonggi-do,수원,&#xC218;&#xC6D0;,2,,,,,0,,0,0,
Suwon,Gyeonggi-do,용인,&#xC6A9;&#xC778;,2,,,,,0,,0,0,
Yangju,Gyeonggi-do,김포,&#xAE40;&#xD3EC;,3,,,,,,,,,
Icheon,Gyeonggi-do,군포,&#xAD70;&#xD3EC;,3,,,,,,,0,,
Osan,Gyeonggi-do,광주,&#xAD11;&#xC8FC;,3,,,,,,,,,
Gunpo,Gyeonggi-do,광명,&#xAD11;&#xBA85;,3,,,,,,,,,
Gwangju,Gyeonggi-do,이천,&#xC774;&#xCC9C;,3,,,,,,,,,
Gwangmyeong,Gyeonggi-do,오산,&#xC624;&#xC0B0;,3,,,,,0,,,0,
Gimpo,Gyeonggi-do,파주,&#xD30C;&#xC8FC;,3,,,,,,,,,
Paju,Gyeonggi-do,평택,&#xD3C9;&#xD0DD;,3,,,,,,,,,
Uijeongbu,Gyeonggi-do,시흥,&#xC2DC;&#xD765;,3,,,,,,,,,
Siheung,Gyeonggi-do,의정부,&#xC758;&#xC815;&#xBD80;,3,,,,,,,,,
Pyeongtaek,Gyeonggi-do,양주,&#xC591;&#xC8FC;,3,,,,,,,,,
Gapyeong,Gyeonggi-do,안성,&#xC548;&#xC131;,4,,,,,,,0,,
Gwacheon,Gyeonggi-do,동두천,&#xB3D9;&#xB450;&#xCC9C;,4,,,,,,,,,
Dongducheon,Gyeonggi-do,가평,&#xAC00;&#xD3C9;,4,,,,,,,,,
Yangpyeong,Gyeonggi-do,구리,&#xAD6C;&#xB9AC;,4,,,,,,,,,
Yeoju,Gyeonggi-do,과천,&#xACFC;&#xCC9C;,4,,,,,,,,,
Hanam,Gyeonggi-do,하남,&#xD558;&#xB0A8;,4,,,,,,,,,
Uiwang,Gyeonggi-do,포천,&#xD3EC;&#xCC9C;,4,,,,,,,0,0,
Pocheon,Gyeonggi-do,의왕,&#xC758;&#xC655;,4,,,,,,,,,
Guri,Gyeonggi-do,양평,&#xC591;&#xD3C9;,4,,,,,,,,,
Anseong,Gyeonggi-do,여주,&#xC5EC;&#xC8FC;,4,,,,,,,,,
