City Name,Region,KOR_Code,UNICODE,City Class,City Size (m3),Population 2015,Population 2020,GRDP 2015 (million Won),Education,Political Leaning,Mayor Political Leaning,Persipiatation,Elevation,Distance Coast
Busan,Busan,부산광역시,&#xBD80;&#xC0B0;&#xAD11;&#xC5ED;&#xC2DC;,1,"769,832,905.5","3,448,737","3,349,016","82,701,497",,,Liberal,,,
Chungcheongbuk-do,Chungcheongbuk-do,충북,&#xCDA9;&#xBD81;,0,"7,407,216,967.9","1,589,347","1,632,088","52,655,700",,,Liberal,,,
Cheongju,Chungcheongbuk-do,청주,&#xCCAD;&#xC8FC;,2,"940,300,134.0","833,276","855,326","26,625,000",,,,,,
Chungju,Chungcheongbuk-do,충주,&#xCDA9;&#xC8FC;,3,"983,569,448.6","211,005","218,412","5,672,100",,,,,,
Jecheon,Chungcheongbuk-do,제천,&#xC81C;&#xCC9C;,4,"883,468,041.6","136,350","134,768","2,968,200",,,,,,
Danyang,Chungcheongbuk-do,단양,&#xB2E8;&#xC591;,5,"781,105,288.3","28,770","27,640","1,113,200",,,,,,
Chungcheongnam-do,Chungcheongnam-do,충남,&#xCDA9;&#xB0A8;,0,"8,213,989,038.7","2,107,802","2,176,636","98,981,936",,,Liberal,,,
Cheonan,Chungcheongnam-do,천안,&#xCC9C;&#xC548;,2,"636,138,972.0","629,062","682,199","22,690,147",,,,,,
Asan,Chungcheongnam-do,아산,&#xC544;&#xC0B0;,3,"542,235,646.4","319,929","340,518","31,210,453",,,,,,
Dangjin,Chungcheongnam-do,당진,&#xB2F9;&#xC9C4;,4,"704,160,410.1","163,762","168,955","11,037,527",,,,,,
Seosan,Chungcheongnam-do,서산,&#xC11C;&#xC0B0;,4,"741,186,337.2","169,221","176,379","10,865,635",,,,,,
Daegu,Daegu,대구광역시,&#xB300;&#xAD6C;&#xAD11;&#xC5ED;&#xC2DC;,1,"883,562,682.1","2,466,052","2,410,700","51,822,013",,,Conservative,,,
Daejeon,Daejeon,대전광역시,&#xB300;&#xC804;&#xAD11;&#xC5ED;&#xC2DC;,1,"539,348,972.4","1,538,394","1,488,435","37,162,614",,,Liberal,,,
Gangwon-do,Gangwon-do,강원,&#xAC15;&#xC6D0;,0,"16,826,410,827.2","1,518,040","1,521,763","39,566,000",,,Liberal,,,
Chuncheon,Gangwon-do,춘천,&#xCD98;&#xCC9C;,3,"1,116,364,202.8","281,596","284,645","7,528,000",,,,,,
